Classics Building,405,Thu,12:30 PM,01:50 PM
Social Sciences Rsch Bldg,401,Thu,02:00 PM,03:20 PM
Campus North Res Commons,154,Thu,02:00 PM,03:20 PM
Cobb Hall,102,Wed,03:00 PM,04:20 PM
Campus North Res Commons,158,Thu,11:00 AM,01:50 PM
TBA,TBA,TBA,TBA,TBA
Pick Hall,218,Mon,01:30 PM,04:20 PM
Wieboldt Hall,130,Thu,12:30 PM,01:50 PM
Cobb Hall,303,Thu,09:30 AM,10:50 AM
Logan Center,501,Thu,02:00 PM,03:20 PM
Rosenwald Hall,405,Thu,12:30 PM,01:50 PM
Cobb Hall,116,Thu,03:30 PM,04:50 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
Rosenwald Hall,405,Wed,04:30 PM,05:50 PM
Harper Mem Library,141,Thu,11:00 AM,12:20 PM
TBA,TBA,TBA,TBA,TBA
Wieboldt Hall,408,Mon,04:30 PM,07:20 PM
Rosenwald Hall,329,Mon,09:30 AM,12:20 PM
Campus North Res Commons,154,Thu,02:00 PM,03:20 PM
TBA,TBA,TBA,TBA,TBA
Wieboldt Hall,130,Thu,12:30 PM,01:50 PM
Cobb Hall,116,Thu,03:30 PM,04:50 PM
Rosenwald Hall,405,Thu,02:00 PM,03:20 PM
Classics Building,405,Thu,12:30 PM,01:50 PM
Social Sciences Rsch Bldg,401,Wed,04:30 PM,05:50 PM
Rosenwald Hall,405,Thu,12:30 PM,01:50 PM
Classics Building,113,Wed,02:30 PM,05:20 PM
TBA,TBA,TBA,TBA,TBA
Walker Museum,403,Mon,10:30 AM,01:20 PM
Beecher Hall,101,Tue,09:30 AM,12:20 PM
Classics Building,113,Tue,09:30 AM,12:20 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
Walker Museum,403,Thu,03:00 PM,04:20 PM
Logan Center,501,Thu,12:30 PM,01:50 PM
TBA,TBA,Wed,03:00 PM,04:20 PM
Walker Museum,302,Wed,09:00 AM,10:20 AM
TBA,TBA,Tue,02:00 PM,04:50 PM
Campus North Res Commons,158,Wed,04:30 PM,07:20 PM
TBA,TBA,Tue,02:00 PM,04:50 PM
Hinds Lab Geo Sci,184,Fri,11:30 AM,12:20 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
Social Sciences Rsch Bldg,401,Wed,03:00 PM,04:20 PM
Hinds Lab Geo Sci,184,Fri,09:30 AM,10:20 AM
Hinds Lab Geo Sci,184,Fri,10:30 AM,11:20 AM
TBA,TBA,TBA,TBA,TBA
Hinds Lab Geo Sci,451,Thu,03:30 PM,04:50 PM
Harper Mem Library,141,Thu,11:00 AM,12:20 PM
Hinds Lab Geo Sci,184,Fri,11:30 AM,12:20 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
Wieboldt Hall,408,Thu,11:00 AM,12:20 PM
Cobb Hall,119,Wed,04:30 PM,05:50 PM
Cobb Hall,302,Tue,03:30 PM,04:50 PM
Cobb Hall,115,Wed,01:30 PM,02:50 PM
 Building 289,1155,Fri,01:30 PM,04:20 PM
Logan Center ,28,Thu,02:00 PM,04:50 PM
Logan Center,501,Thu,12:30 PM,01:50 PM
 Building 140,1155,Thu,09:30 AM,10:50 AM
Cochrane-Woods Art Ctr,157,Wed,03:00 PM,04:20 PM
Crerar Library,134,Fri,12:30 PM,04:50 PM
Social Sciences Rsch Bldg,401,Wed,03:00 PM,04:20 PM
 Building 140,1155,Thu,02:00 PM,03:20 PM
Stuart Hall,102,Thu,11:00 AM,12:20 PM
Kelly Hall,114,Thu,11:00 AM,12:20 PM
TBA,TBA,Wed,03:00 PM,04:20 PM
Walker Museum,302,Wed,09:00 AM,10:20 AM
Pick Hall,218,Mon,01:30 PM,04:20 PM
TBA,TBA,TBA,TBA,TBA
Logan Center ,28,Tue,02:00 PM,04:50 PM
Rosenwald Hall,329,Thu,02:00 PM,04:50 PM
Social Sciences Rsch Bldg,122,Thu,12:30 PM,01:50 PM
TBA,TBA,TBA,TBA,TBA
The Keller Center,1022,Mon,04:30 PM,07:20 PM
TBA,TBA,Tue,02:00 PM,04:50 PM
Gates-Blake Hall,321,Thu,11:00 AM,12:20 PM
Hinds Lab Geo Sci,176,Wed,03:30 PM,05:30 PM
TBA,TBA,TBA,TBA,TBA
BioSci Learning Center,218,Wed,01:30 PM,02:50 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
Zoology Building,212,Thu,11:00 AM,12:20 PM
Harper Mem Library,140,Thu,02:00 PM,03:20 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,Fri,07:00 AM,05:00 PM
TBA,TBA,Fri,07:00 AM,05:00 PM
TBA,TBA,Fri,07:00 AM,05:00 PM
TBA,TBA,Fri,07:00 AM,05:00 PM
TBA,TBA,Fri,08:00 AM,05:00 PM
TBA,TBA,Fri,08:00 AM,05:00 PM
TBA,TBA,Fri,08:00 AM,05:00 PM
TBA,TBA,Fri,06:00 AM,06:00 PM
TBA,TBA,Fri,06:00 AM,06:00 PM
TBA,TBA,Fri,06:00 AM,06:00 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
Kent Chem Lab,120,Wed,06:00 PM,09:00 PM
 S. University Ave. 11,5727,Fri,06:00 PM,09:00 PM
 S. University Ave. 11,5727,Fri,01:30 PM,04:20 PM
 S. University Ave. 11,5727,Tue,06:00 PM,09:00 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
 S. University Ave. 11,5727,Thu,06:00 PM,09:00 PM
 S. University Ave. 11,5727,Mon,06:00 PM,09:00 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
 S. University Ave. 11,5727,Thu,03:30 PM,04:50 PM
Cobb Hall,103,Fri,09:30 AM,10:20 AM
Cobb Hall,103,Fri,09:30 AM,10:20 AM
Cobb Hall,119,Fri,03:30 PM,04:20 PM
Cobb Hall,119,Fri,03:30 PM,04:20 PM
Cobb Hall,116,Fri,09:30 AM,10:20 AM
Cobb Hall,116,Fri,09:30 AM,10:20 AM
Cobb Hall,116,Fri,10:30 AM,11:20 AM
Cobb Hall,116,Fri,10:30 AM,11:20 AM
Cobb Hall,301,Fri,11:30 AM,12:20 PM
Cobb Hall,301,Fri,11:30 AM,12:20 PM
Cobb Hall,402,Fri,12:30 PM,01:20 PM
Cobb Hall,402,Fri,12:30 PM,01:20 PM
Cobb Hall,202,Fri,01:30 PM,02:20 PM
Cobb Hall,202,Fri,01:30 PM,02:20 PM
Cobb Hall,210,Fri,02:30 PM,03:20 PM
Cobb Hall,210,Fri,02:30 PM,03:20 PM
Cobb Hall,205,Fri,02:30 PM,04:20 PM
Cobb Hall,205,Fri,02:30 PM,04:20 PM
Cobb Hall,203,Wed,03:00 PM,04:20 PM
Cobb Hall,203,Wed,03:00 PM,04:20 PM
Cobb Hall,301,Fri,12:30 PM,01:20 PM
Cobb Hall,301,Fri,12:30 PM,01:20 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
Cobb Hall,119,Fri,08:30 AM,09:20 AM
Cobb Hall,119,Fri,08:30 AM,09:20 AM
Cobb Hall,301,Fri,09:30 AM,10:20 AM
Cobb Hall,301,Fri,09:30 AM,10:20 AM
Cobb Hall,104,Fri,09:30 AM,10:20 AM
Cobb Hall,104,Fri,09:30 AM,10:20 AM
Cobb Hall,104,Fri,10:30 AM,11:20 AM
Cobb Hall,104,Fri,10:30 AM,11:20 AM
Cobb Hall,119,Fri,10:30 AM,11:20 AM
Cobb Hall,119,Fri,10:30 AM,11:20 AM
Cobb Hall,119,Fri,12:30 PM,01:20 PM
Cobb Hall,119,Fri,12:30 PM,01:20 PM
Cobb Hall,103,Fri,10:30 AM,11:20 AM
Cobb Hall,103,Fri,10:30 AM,11:20 AM
Cobb Hall,104,Fri,12:30 PM,01:20 PM
Cobb Hall,104,Fri,12:30 PM,01:20 PM
Cobb Hall,430,Fri,01:30 PM,02:20 PM
Cobb Hall,430,Fri,01:30 PM,02:20 PM
Cobb Hall,101,Fri,09:30 AM,10:20 AM
Cobb Hall,112,Wed,01:30 PM,02:50 PM
Wieboldt Hall,207,Thu,11:00 AM,12:20 PM
Wieboldt Hall,207,Thu,02:00 PM,03:20 PM
Wieboldt Hall,207,Wed,01:30 PM,02:50 PM
Cobb Hall,101,Thu,09:30 AM,10:50 AM
Cobb Hall,402,Wed,03:00 PM,04:20 PM
Cobb Hall,112,Wed,01:30 PM,02:50 PM
Wieboldt Hall,207,Thu,02:00 PM,03:20 PM
TBA,TBA,TBA,TBA,TBA
Campus North Res Commons,158,Wed,04:30 PM,07:20 PM
Cochrane-Woods Art Ctr,153,Thu,05:00 PM,06:20 PM
Rosenwald Hall,405,Wed,04:30 PM,05:50 PM
Foster Hall,305,Thu,12:30 PM,03:20 PM
Rosenwald Hall,405,Wed,01:30 PM,02:50 PM
Foster Hall,305,Wed,01:30 PM,04:20 PM
Harper Mem Library,141,Thu,02:00 PM,03:20 PM
TBA,TBA,Wed,01:30 PM,02:50 PM
Gates-Blake Hall,321,Wed,03:00 PM,04:20 PM
Cobb Hall,202,Thu,12:30 PM,01:50 PM
Classics Building ,21,Wed,03:00 PM,04:20 PM
Swift Hall,106,Wed,03:00 PM,04:20 PM
Stuart Hall,104,Thu,11:00 AM,12:20 PM
TBA,TBA,TBA,TBA,TBA
Swift Hall,208,Thu,09:30 AM,10:50 AM
Cobb Hall,106,Tue,06:30 PM,09:30 PM
Wieboldt Hall,207,Thu,09:30 AM,10:50 AM
Regenstein Library,136,Thu,04:30 PM,05:50 PM
Swift Hall,106,Wed,04:30 PM,05:50 PM
Harper Mem Library,130,Thu,12:30 PM,01:50 PM
Classics Building ,21,Wed,01:30 PM,02:50 PM
Campus North Res Commons,158,Thu,11:00 AM,01:50 PM
TBA,TBA,Thu,02:00 PM,03:20 PM
Swift Hall,208,Thu,12:30 PM,01:50 PM
Foster Hall,505,Wed,10:30 AM,01:20 PM
Pick Hall,218,Thu,09:30 AM,10:50 AM
 Building 140,1155,Thu,09:30 AM,10:50 AM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
 S. University 10,5733,Thu,11:00 AM,12:20 PM
 S. University 10,5733,Thu,02:00 PM,03:20 PM
Rosenwald Hall,329,Thu,11:00 AM,12:20 PM
